"Generation","Name","Gender","Age When Child Was Born","Lifespan Years","Age Before Becoming King","Years as King","Citation: Age Before King","Citation: Years as King"
35,"Solomon, King of Israel (Undivided Kingdom)","M",NULL,NULL,NULL,"40",NULL,"1 Kings 11:42, 2 Chronicles 9:30"
36,"Rehoboam, King of Judah","M",NULL,NULL,"41","17","1 Kings 14:21","1 Kings 14:21"
37,"Abijah (a.k.a. Abijam & Abia), King of Judah","M",NULL,NULL,NULL,"3",NULL,"1 Kings 15:1-2, 2 Chronicles 13:1-2"
38,"Asa, King of Judah","M",NULL,NULL,NULL,"41",NULL,"1 Kings 15:8-10"
39,"Jehoshaphat, King of Judah","M",NULL,NULL,"35","25","1 Kings 22:41-42, 2 Chronicles 20:31-32","1 Kings 22:41-42, 2 Chronicles 20:31-32"
40,"Jehoram (a.k.a. Joram in 1 Ch. 3:11), King of Judah","M",NULL,NULL,"32","8","2 Kings 8:17, 2 Chronicles 21:16-20","2 Kings 8:17, 2 Chronicles 21:16-20"
41,"Ahaziah, King of Judah","M",NULL,NULL,"22 or 42","1","2 Kings 8:26, 2 Chronicles 22:2","2 Kings 8:26, 2 Chronicles 22:2"
42,"Joash (a.k.a. Jehoash in 2 Ki. 12:1), King of Judah","M",NULL,NULL,"7","40","2 Kings 11:21, 2 Chronicles 24:1","2 Kings 12:1, 2 Chronicles 24:1"
43,"Amaziah, King of Judah","M",NULL,NULL,"25","29","2 Kings 14:1-2, 2 Chronicles 25:1","2 Kings 14:1-2, 2 Chronicles 25:1"
44,"Azariah (a.k.a. Uzziah in 2 Ch. 26:3), King of Judah","M",NULL,NULL,"16","52","2 Kings 15:1-2, 2 Chronicles 26:3","2 Kings 15:1-2, 2 Chronicles 26:3"
45,"Jotham, King of Judah","M",NULL,NULL,"25","16","2 Kings 15:32-33, 2 Chronicles 27:1","2 Kings 15:32-33, 2 Chronicles 27:1"
46,"Ahaz, King of Judah","M",NULL,NULL,"20","16","2 Kings 16:1-2, 2 Chronicles 28:1","2 Kings 16:1-2, 2 Chronicles 28:1"
47,"Hezekiah, King of Judah","M",NULL,NULL,"25","29","2 Kings 18:1-2, 2 Chronicles 29:1","2 Kings 18:1-2, 2 Chronicles 29:1"
48,"Manasseh, King of Judah","M",NULL,NULL,"12","55","2 Kings 21:1, 2 Chronicles 33:1","2 Kings 21:1, 2 Chronicles 33:1"
49,"Amon, King of Judah","M",NULL,NULL,"22","2","2 Kings 21:19, 2 Chronicles 33:21","2 Kings 21:19, 2 Chronicles 33:21"
50,"Josiah, King of Judah","M",NULL,NULL,"8","31","2 Kings 22:1, 2 Chronicles 34:1","2 Kings 22:1, 2 Chronicles 34:1"
51,"Jehoiakim, King of Judah","M",NULL,NULL,"25","11","2 Kings 23:36, 2 Chronicles 36:5","2 Kings 23:36, 2 Chronicles 36:5"
52,"Jeconiah (a.k.a. Jehoiachin), King of Judah","M",NULL,NULL,"Either 8 or 18.","3months & 10days","2 Kings 24:8, 2 Chronicles 36:9","2 Kings 24:8, 2 Kings 24:12, 2 Chronicles 36:9"
53,"Salathiel","M",NULL,NULL,NULL,NULL,NULL,NULL
54,"Zorobabel (a.k.a. Zerubbabel), Governer of Judah","M",NULL,NULL,NULL,NULL,NULL,NULL
55,"Abiud",NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,"Eliakim","M",NULL,NULL,NULL,NULL,NULL,NULL
57,"Azor","M",NULL,NULL,NULL,NULL,NULL,NULL
58,"Sadoc","M",NULL,NULL,NULL,NULL,NULL,NULL
59,"Achim","M",NULL,NULL,NULL,NULL,NULL,NULL
60,"Eliud","M",NULL,NULL,NULL,NULL,NULL,NULL
61,"Eleazar","M",NULL,NULL,NULL,NULL,NULL,NULL
62,"Matthan","M",NULL,NULL,NULL,NULL,NULL,NULL
63,"Jacob","M",NULL,NULL,NULL,NULL,NULL,NULL
64,"Joseph (Mary's Husband)","M",NULL,NULL,NULL,NULL,NULL,NULL
