"generation","name","concordance_id","generation_in_hexadecimal","gender","gender_citation","parent","parent_citation","age_when_individual_begat_subsequent_child","begat_age_citation","lifespan_years","lifespan_citation"
35,"Nathan","G3481","23","M","Luke 3:31","David","2 Samuel 5:13-14, Luke 3:31",NULL,NULL,NULL,NULL
36,"Mattatha","G3160","24","M","Luke 3:31","Nathan","Luke 3:31",NULL,NULL,NULL,NULL
37,"Menan","G3104","25","M","Luke 3:31","Mattatha","Luke 3:31",NULL,NULL,NULL,NULL
38,"Melea","G3190","26","M","Luke 3:31","Menan","Luke 3:31",NULL,NULL,NULL,NULL
39,"Eliakim","G1662","27","M","Luke 3:30-31","Melea","Luke 3:30-31",NULL,NULL,NULL,NULL
40,"Jonan","G2494","28","M","Luke 3:30","Eliakim","Luke 3:30",NULL,NULL,NULL,NULL
41,"Joseph","G2501","29","M","Luke 3:30","Jonan","Luke 3:30",NULL,NULL,NULL,NULL
42,"Juda","G2455","2a","M","Luke 3:30","Joseph","Luke 3:30",NULL,NULL,NULL,NULL
43,"Simeon","G4826","2b","M","Luke 3:30","Juda","Luke 3:30",NULL,NULL,NULL,NULL
44,"Levi","G3017","2c","M","Luke 3:29-30","Simeon","Luke 3:29-30",NULL,NULL,NULL,NULL
45,"Matthat","G3158","2d","M","Luke 3:29","Levi","Luke 3:29",NULL,NULL,NULL,NULL
46,"Jorim","G2497","2e","M","Luke 3:29","Matthat","Luke 3:29",NULL,NULL,NULL,NULL
47,"Eliezer","G1663","2f","M","Luke 3:29","Jorim","Luke 3:29",NULL,NULL,NULL,NULL
48,"Jose","G2499","30","M","Luke 3:29","Eliezer","Luke 3:29",NULL,NULL,NULL,NULL
49,"Er","G2262","31","M","Luke 3:28-29","Jose","Luke 3:28-29",NULL,NULL,NULL,NULL
50,"Elmodam","G1678","32","M","Luke 3:28","Er","Luke 3:28",NULL,NULL,NULL,NULL
51,"Cosam","G2973","33","M","Luke 3:28","Elmodam","Luke 3:28",NULL,NULL,NULL,NULL
52,"Addi","G78","34","M","Luke 3:28","Cosam","Luke 3:28",NULL,NULL,NULL,NULL
53,"Melchi","G3197","35","M","Luke 3:28","Addi","Luke 3:28",NULL,NULL,NULL,NULL
54,"Neri","G3518","36","M","Luke 3:27-28","Melchi","Luke 3:27-28",NULL,NULL,NULL,NULL
55,"Salathiel","G4528","37","M","Luke 3:27","Neri","Luke 3:27",NULL,NULL,NULL,NULL
56,"Zorobabel","G2216","38","M","Luke 3:27","Salathiel","Luke 3:27",NULL,NULL,NULL,NULL
57,"Rhesa","G4488","39","M","Luke 3:27","Zorobabel","Luke 3:27",NULL,NULL,NULL,NULL
58,"Joanna","G2490","3a","M","Luke 3:27","Rhesa","Luke 3:27",NULL,NULL,NULL,NULL
59,"Juda","G2455","3b","M","Luke 3:26-27","Joanna","Luke 3:26-27",NULL,NULL,NULL,NULL
60,"Joseph","G2501","3c","M","Luke 3:26","Juda","Luke 3:26",NULL,NULL,NULL,NULL
61,"Semei","G4584","3d","M","Luke 3:26","Joseph","Luke 3:26",NULL,NULL,NULL,NULL
62,"Mattathias","G3161","3e","M","Luke 3:26","Semei","Luke 3:26",NULL,NULL,NULL,NULL
63,"Maath","G3092","3f","M","Luke 3:26","Mattathias","Luke 3:26",NULL,NULL,NULL,NULL
64,"Nagge","G3477","40","M","Luke 3:25-26","Maath","Luke 3:25-26",NULL,NULL,NULL,NULL
65,"Esli","G2069","41","M","Luke 3:25","Nagge","Luke 3:25",NULL,NULL,NULL,NULL
66,"Naum","G3486","42","M","Luke 3:25","Esli","Luke 3:25",NULL,NULL,NULL,NULL
67,"Amos","G301","43","M","Luke 3:25","Naum","Luke 3:25",NULL,NULL,NULL,NULL
68,"Mattathias","G3161","44","M","Luke 3:25","Amos","Luke 3:25",NULL,NULL,NULL,NULL
69,"Joseph","G2501","45","M","Luke 3:24-25","Mattathias","Luke 3:24-25",NULL,NULL,NULL,NULL
70,"Janna","G2388","46","M","Luke 3:24","Joseph","Luke 3:24",NULL,NULL,NULL,NULL
71,"Melchi","G3197","47","M","Luke 3:24","Janna","Luke 3:24",NULL,NULL,NULL,NULL
72,"Levi","G3017","48","M","Luke 3:24","Melchi","Luke 3:24",NULL,NULL,NULL,NULL
73,"Matthat","G3158","49","M","Luke 3:24","Levi","Luke 3:24",NULL,NULL,NULL,NULL
74,"Heli","G2242","4a","M","Luke 3:23-24","Matthat","Luke 3:23-24",NULL,NULL,NULL,NULL
